dataset,backbone,family,false_pick_alpha,n_rows,selection_status,calibration_false_pick_rate_mean,calibration_coverage_mean,false_pick_rate_mean,pick_precision_mean,pick_recall_mean,revisit_burden_mean,coverage_mean
laboro_tomato,vitb16,ProtoAdapter,0.05,20,query_exceeds_alpha,0.046566487572121916,0.6148702594810379,0.11530554180824212,0.884694458191758,0.23232628398791544,0.3698226395409493,0.6301773604590506
laboro_tomato,vitb16,ProtoAdapter,0.1,20,query_exceeds_alpha,0.09750398602813917,0.6469394544244844,0.17004874211459442,0.8299512578854056,0.311178247734139,0.33815858111632763,0.6618414188836724
laboro_tomato,vitb16,TipAdapter,0.05,20,query_exceeds_alpha,0.04710848865784015,0.6599800399201599,0.10485055877595457,0.8951494412240455,0.28882175226586104,0.3274387063119457,0.6725612936880544
laboro_tomato,vitb16,TipAdapter,0.1,20,query_exceeds_alpha,0.0956460663922464,0.6861610113107119,0.15769166893858474,0.8423083310614153,0.3472809667673715,0.3020344287949922,0.6979655712050079
laboro_tomato,vitb16,ZS-temp,0.05,1,query_exceeds_alpha,0.0,0.7225548902195609,0.4444444444444444,0.5555555555555556,0.00906344410876133,0.24726134585289514,0.7527386541471048
laboro_tomato,vitb16,ZS-temp,0.1,1,query_exceeds_alpha,0.0,0.7225548902195609,0.4444444444444444,0.5555555555555556,0.00906344410876133,0.24726134585289514,0.7527386541471048
strawberry,vitb32,ProtoAdapter,0.05,20,query_within_alpha,0.013607307494676913,0.7403364632237872,0.009945889606592002,0.9900541103934082,0.7741573033707867,0.2709949409780775,0.7290050590219226
strawberry,vitb32,ProtoAdapter,0.1,20,query_within_alpha,0.01467119746582574,0.7418231611893585,0.010537376493474167,0.9894626235065258,0.7754681647940076,0.2701517706576729,0.7298482293423272
strawberry,vitb32,TipAdapter,0.05,20,query_within_alpha,0.01798997474655242,0.7444835680751173,0.012492072440150959,0.9875079275598491,0.7717228464419477,0.2625632377740304,0.7374367622259697
strawberry,vitb32,TipAdapter,0.1,20,query_within_alpha,0.024433253787409296,0.7532863849765257,0.01802203345366284,0.9819779665463372,0.7810861423220975,0.253204047217538,0.7467959527824621
strawberry,vitb32,ZS-temp,0.05,1,query_within_alpha,0.01037344398340249,0.9021909233176839,0.011673151750972763,0.9883268482490273,0.7790262172284644,0.08431703204047218,0.9156829679595279
strawberry,vitb32,ZS-temp,0.1,1,query_within_alpha,0.01037344398340249,0.9021909233176839,0.011673151750972763,0.9883268482490273,0.7790262172284644,0.08431703204047218,0.9156829679595279
