dataset,backbone,family,false_pick_alpha,n_rows,calibration_unsafe_pick_rate_mean,query_unsafe_pick_rate_mean,query_strict_pick_precision_mean,query_n_pick_mean,query_n_unsafe_pick_mean
laboro_tomato,vitb16,ProtoAdapter,0.05,20,0.348172294133417,0.36737667206292135,0.6326233279370788,121.55,44.65
laboro_tomato,vitb16,ProtoAdapter,0.1,20,0.3955771225838747,0.43070323071942535,0.5692967692805747,182.25,79.25
laboro_tomato,vitb16,TipAdapter,0.05,20,0.3352234450376456,0.36266465823209254,0.6373353417679074,152.55,56.95
laboro_tomato,vitb16,TipAdapter,0.1,20,0.4006287047737893,0.4184171474846967,0.5815828525153033,201.25,86.3
laboro_tomato,vitb16,ZS-temp,0.05,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,9.0,6.0
laboro_tomato,vitb16,ZS-temp,0.1,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,9.0,6.0
strawberry,vitb32,ProtoAdapter,0.05,20,0.10077606840080569,0.09027978659139668,0.9097202134086034,226.9,20.2
strawberry,vitb32,ProtoAdapter,0.1,20,0.10249931345636787,0.0906367321819782,0.9093632678180219,227.4,20.35
strawberry,vitb32,TipAdapter,0.05,20,0.11370672876482224,0.09971577712735098,0.9002842228726491,229.75,23.7
strawberry,vitb32,TipAdapter,0.1,20,0.1222875227495015,0.10853021459722981,0.8914697854027704,235.3,26.75
strawberry,vitb32,ZS-temp,0.05,1,0.17012448132780084,0.19066147859922178,0.8093385214007782,257.0,49.0
strawberry,vitb32,ZS-temp,0.1,1,0.17012448132780084,0.19066147859922178,0.8093385214007782,257.0,49.0
