dataset,backbone,baseline,selector,temperature,calibration_nll,target_coverage,selector_threshold,false_pick_rate,pick_precision,pick_recall,revisit_burden,coverage,n_samples,n_pick,n_wait,n_revisit,n_false_pick,n_true_pick
laboro_tomato,vitb16,ZS-hard,none,1.0,,1.0,,0.42857142857142855,0.5714285714285714,0.021148036253776436,0.24100156494522693,0.758998435054773,1917,21,1434,462,9,7
laboro_tomato,vitb16,ZS-temp-selective,msp,0.01,0.7152784621166596,0.4,0.7442813281902837,0.0,0.0,0.0,0.6040688575899843,0.3959311424100157,1917,0,759,1158,0,0
laboro_tomato,vitb16,ZS-temp-selective,msp,0.01,0.7152784621166596,0.5,0.6991002800112532,0.0,0.0,0.0,0.5169535732916014,0.4830464267083986,1917,0,926,991,0,0
laboro_tomato,vitb16,ZS-temp-selective,msp,0.01,0.7152784621166596,0.6,0.6471635271932716,0.0,0.0,0.0,0.4507042253521127,0.5492957746478873,1917,0,1053,864,0,0
laboro_tomato,vitb16,ZS-temp-selective,msp,0.01,0.7152784621166596,0.7,0.5994374413899782,0.0,0.0,0.0,0.39280125195618154,0.6071987480438185,1917,0,1164,753,0,0
laboro_tomato,vitb16,ZS-temp-selective,msp,0.01,0.7152784621166596,0.8,0.5532261313875091,1.0,0.0,0.0,0.3442879499217527,0.6557120500782473,1917,1,1256,660,1,0
laboro_tomato,vitb16,ZS-temp-selective,msp,0.01,0.7152784621166596,0.9,0.4983082606955725,0.8,0.19999999999999996,0.0030211480362537764,0.2889932185706834,0.7110067814293166,1917,5,1358,554,4,1
laboro_tomato,vitb16,ZS-temp-selective,margin,0.01,0.7152784621166596,0.4,0.5389634861110532,0.0,0.0,0.0,0.6113719353155973,0.3886280646844027,1917,0,745,1172,0,0
laboro_tomato,vitb16,ZS-temp-selective,margin,0.01,0.7152784621166596,0.5,0.47008792898872553,0.0,0.0,0.0,0.5315597287428273,0.4684402712571727,1917,0,898,1019,0,0
laboro_tomato,vitb16,ZS-temp-selective,margin,0.01,0.7152784621166596,0.6,0.3897745402666033,0.0,0.0,0.0,0.4679186228482003,0.5320813771517997,1917,0,1020,897,0,0
laboro_tomato,vitb16,ZS-temp-selective,margin,0.01,0.7152784621166596,0.7,0.3102167746802601,0.0,0.0,0.0,0.40897235263432447,0.5910276473656755,1917,0,1133,784,0,0
laboro_tomato,vitb16,ZS-temp-selective,margin,0.01,0.7152784621166596,0.8,0.2344234645268335,1.0,0.0,0.0,0.35159102764736566,0.6484089723526343,1917,1,1242,674,1,0
laboro_tomato,vitb16,ZS-temp-selective,margin,0.01,0.7152784621166596,0.9,0.13035865489394266,0.8,0.19999999999999996,0.0030211480362537764,0.29577464788732394,0.704225352112676,1917,5,1345,567,4,1
laboro_tomato,vitb16,ZS-temp-selective,entropy,0.01,0.7152784621166596,0.4,0.677949326499784,0.0,0.0,0.0,0.6004173187271779,0.39958268127282215,1917,0,766,1151,0,0
laboro_tomato,vitb16,ZS-temp-selective,entropy,0.01,0.7152784621166596,0.5,0.7509256034476242,0.0,0.0,0.0,0.5065206051121544,0.49347939488784565,1917,0,946,971,0,0
laboro_tomato,vitb16,ZS-temp-selective,entropy,0.01,0.7152784621166596,0.6,0.8263928974798225,0.0,0.0,0.0,0.42618675013041213,0.5738132498695878,1917,0,1100,817,0,0
laboro_tomato,vitb16,ZS-temp-selective,entropy,0.01,0.7152784621166596,0.7,0.8851607998681836,0.0,0.0,0.0,0.369848721961398,0.630151278038602,1917,0,1208,709,0,0
laboro_tomato,vitb16,ZS-temp-selective,entropy,0.01,0.7152784621166596,0.8,0.9398739650852741,0.0,1.0,0.00906344410876133,0.32968179447052687,0.6703182055294732,1917,4,1281,632,0,3
laboro_tomato,vitb16,ZS-temp-selective,entropy,0.01,0.7152784621166596,0.9,0.9910807069152865,0.2222222222222222,0.7777777777777778,0.015105740181268883,0.28794992175273865,0.7120500782472614,1917,9,1356,552,2,5
